 ,x-pos,y-pos,mean80,mean60,width50,width30,width10,pos20,pos40,int40,pos60,int60,pos80,int20,width80,mean10,int80,mean50,mean30,mean90,mean70,width60,width40,pos10,width20,pos30,pos50,int50,pos70,int70,width90,int10,pos90,width70,int30,mean40,int90,mean20
1,2061.788,2080.467,337.756,229.478,118.813,127.852,143.984,1880.831,1876.590,12264581.074,1871.969,10180107.813,1864.561,36471663.894,109.016,1182.025,15081818.927,188.851,401.692,372.264,310.554,108.306,122.209,1883.532,141.135,1878.383,1874.807,9190627.282,1868.783,13782381.017,95.178,69711088.340,1857.522,108.350,21035827.930,245.012,14512728.189,630.899
2,2064.495,2237.598,340.082,232.416,116.733,125.950,141.553,1798.230,1801.130,11988004.097,1803.836,10131492.373,1801.998,35425833.545,106.787,1174.384,14875201.857,190.745,396.306,374.717,310.999,106.426,120.474,1797.654,137.109,1799.616,1802.579,9120279.896,1803.654,13630447.319,92.959,68090804.159,1798.785,107.002,20445044.556,242.938,14267719.444,630.802
3,2074.554,2390.985,336.855,217.380,113.872,122.456,139.832,1719.058,1727.873,11196022.563,1737.269,9261471.994,1741.682,32735354.882,95.208,1076.540,13136327.696,180.857,378.081,350.455,291.515,104.016,116.897,1715.093,133.418,1723.622,1733.184,8435542.528,1740.328,12383285.885,90.398,61658842.226,1741.277,103.708,18963769.374,233.830,12976305.559,599.022
4,2082.192,2549.528,357.310,227.505,107.239,115.540,132.002,1640.299,1656.280,10569401.690,1671.454,8998495.758,1682.101,30840442.088,87.327,1083.031,12780630.014,183.902,378.714,372.189,306.521,96.565,109.722,1632.930,125.447,1648.157,1664.367,8077903.913,1677.839,12050885.678,82.615,58557330.335,1684.616,95.984,17922617.763,235.179,12594509.752,600.207
5,2094.113,2711.973,458.885,287.258,94.395,103.064,118.250,1568.403,1590.945,11321980.143,1612.846,9852381.691,1630.087,33436869.161,74.753,1322.772,14050608.394,225.877,456.579,479.867,390.168,83.735,97.744,1557.650,113.362,1579.526,1602.426,8733309.704,1622.714,13383936.759,70.154,64068450.089,1635.861,83.748,19274492.324,282.795,13788977.136,720.110
6,2104.740,2885.864,539.301,328.439,80.403,88.750,104.031,1499.153,1529.141,10912317.472,1558.477,9451167.276,1582.922,32326506.790,61.023,1446.282,13479818.285,254.254,509.409,572.846,451.374,70.254,83.386,1484.599,98.274,1513.840,1544.337,8373360.428,1571.746,12840695.556,56.255,61627506.069,1592.167,69.453,18518019.100,319.494,13199516.121,803.083
7,2117.142,3073.463,753.109,442.082,59.941,67.483,80.281,1439.411,1477.094,9714275.126,1514.353,8853584.293,1546.358,29230900.214,40.801,1720.727,12585965.497,313.781,601.272,823.774,614.646,48.894,62.183,1421.043,75.750,1458.170,1496.234,7703942.553,1531.434,12182894.083,36.082,56582665.485,1559.302,48.391,16619768.488,381.401,12174551.294,942.112
8,2129.367,3268.484,1554.138,1431.221,33.674,39.395,54.434,1391.366,1435.505,24384282.726,1483.057,16178524.284,1525.224,55191767.638,23.396,3889.713,14893300.999,1324.018,2233.842,1482.698,1369.144,27.598,33.501,1369.645,48.911,1412.885,1460.180,18262173.510,1505.484,16194233.185,21.646,86725038.347,1542.895,28.877,36045269.980,1777.021,13145600.834,2754.905
9,2038.683,1946.204,330.135,214.206,119.585,128.335,144.312,1952.884,1942.848,11741235.685,1932.827,9569450.252,1919.404,35057196.062,100.596,1147.241,13602878.167,179.682,384.324,342.455,286.277,109.067,122.175,1958.507,141.326,1947.567,1938.273,8801189.137,1926.906,12808912.616,96.023,67813417.402,1910.362,109.236,20202364.583,234.623,13469105.868,605.614
10,2029.073,1817.698,331.185,214.376,115.647,124.333,140.627,2020.965,2005.692,11620829.941,1991.529,9193943.754,1972.103,34518349.076,96.287,1154.697,13061624.595,181.297,392.916,345.749,284.299,104.705,118.550,2029.519,135.068,2013.513,1999.093,8587844.336,1981.783,12269506.705,91.482,66511680.888,1960.523,105.364,20010056.712,239.319,12955559.318,623.931
11,2018.191,1685.836,359.793,231.683,108.455,117.009,133.376,2086.190,2065.851,11628337.920,2045.236,9185772.593,2021.214,34139141.122,88.433,1203.772,13032415.254,194.842,415.940,375.994,305.780,96.797,111.250,2097.667,128.108,2075.890,2055.478,8655469.338,2033.486,12245583.438,84.241,65763255.802,2006.963,97.771,19934774.221,255.186,12973662.543,650.604
12,2010.425,1556.545,393.084,250.753,103.013,111.353,126.746,2145.189,2119.462,11887716.031,2093.431,9424554.469,2064.200,35014872.533,82.749,1307.840,13323186.079,210.610,448.101,409.616,330.464,91.760,105.239,2159.305,120.935,2132.182,2106.344,8886467.005,2079.248,12448252.396,78.467,67896528.633,2047.817,91.965,20437877.691,275.779,13165070.705,706.871
13,1999.595,1414.518,460.736,293.860,91.848,99.604,114.897,2208.201,2176.165,12405333.232,2144.151,9718541.180,2109.447,36642243.561,71.804,1519.497,13550707.188,245.385,525.221,487.144,387.028,80.742,93.938,2225.435,109.944,2192.054,2160.239,9231641.100,2127.158,12826101.303,67.256,71510569.920,2090.085,80.908,21427983.674,322.409,13419829.424,813.675
14,1989.392,1270.636,505.840,319.054,80.051,88.303,104.963,2264.560,2225.967,12216272.499,2187.588,8988715.910,2147.146,35990524.460,60.039,1601.909,12439607.003,270.941,580.399,543.540,418.724,68.782,82.354,2285.141,99.209,2244.909,2207.218,8883883.463,2167.969,11784975.572,55.527,68870886.811,2124.918,68.713,20992462.352,362.157,12362262.402,885.681
15,1978.753,1112.722,622.969,392.751,62.754,70.547,85.295,2312.744,2268.416,11785364.589,2224.177,8463385.840,2178.046,33873431.338,45.647,1827.383,11647650.488,332.636,697.852,679.523,505.550,52.610,65.303,2336.331,79.302,2290.360,2246.162,8550075.669,2201.363,11042222.131,41.760,63843274.046,2152.973,53.325,20165134.460,440.607,11623245.844,1042.837
